employee_id,first_name,last_name,age,email,phone,remote_work,employee_key
EMP1000,Bob,Davis,25.0,bob.davis@example.com,1651-623-197,True,1
EMP1001,Bob,Brown,,bob.brown@example.com,1898-471-390,True,2
EMP1002,Alice,Jones,,alice.jones@example.com,5596-363-211,True,3
EMP1003,Eva,Davis,25.0,eva.davis@example.com,3476-490-784,True,4
EMP1004,Frank,Williams,25.0,frank.williams@example.com,1586-734-256,False,5
EMP1005,Alice,Garcia,40.0,alice.garcia@example.com,5409-003-485,False,6
EMP1006,Frank,Jones,,frank.jones@example.com,4518-376-063,False,7
EMP1007,Bob,Jones,30.0,bob.jones@example.com,4134-327-559,True,8
EMP1008,Frank,Davis,35.0,frank.davis@example.com,4177-656-123,True,9
EMP1009,Charlie,Johnson,,charlie.johnson@example.com,8156-985-699,True,10
EMP1010,David,Williams,35.0,david.williams@example.com,2720-634-590,False,11
EMP1011,David,Davis,,david.davis@example.com,1238-296-576,True,12
EMP1012,Heidi,Williams,30.0,heidi.williams@example.com,2429-543-164,False,13
EMP1013,Grace,Williams,,grace.williams@example.com,2669-300-892,False,14
EMP1014,Alice,Garcia,25.0,alice.garcia@example.com,1734-206-968,True,15
EMP1015,Grace,Jones,40.0,grace.jones@example.com,4215-291-085,True,16
EMP1016,Alice,Brown,25.0,alice.brown@example.com,7713-334-475,False,17
EMP1017,Grace,Garcia,30.0,grace.garcia@example.com,2639-343-625,True,18
EMP1018,Charlie,Garcia,,charlie.garcia@example.com,2044-397-358,False,19
EMP1019,Charlie,Williams,35.0,charlie.williams@example.com,7107-256-365,True,20
EMP1020,Bob,Miller,35.0,bob.miller@example.com,9411-800-536,True,21
EMP1021,Bob,Jones,40.0,bob.jones@example.com,5990-048-963,False,22
EMP1022,Charlie,Johnson,35.0,charlie.johnson@example.com,6528-092-427,True,23
EMP1023,David,Garcia,35.0,david.garcia@example.com,7572-158-623,False,24
EMP1024,Bob,Brown,30.0,bob.brown@example.com,1502-745-643,True,25
EMP1025,David,Miller,25.0,david.miller@example.com,9485-625-727,False,26
EMP1026,Frank,Miller,25.0,frank.miller@example.com,7032-032-073,False,27
EMP1027,Heidi,Johnson,30.0,heidi.johnson@example.com,2761-707-586,True,28
EMP1028,Grace,Garcia,40.0,grace.garcia@example.com,7712-151-341,False,29
EMP1029,Alice,Brown,40.0,alice.brown@example.com,2849-939-088,True,30
EMP1030,Charlie,Jones,40.0,charlie.jones@example.com,2613-715-040,True,31
EMP1031,Bob,Smith,25.0,bob.smith@example.com,6591-520-176,True,32
EMP1032,Charlie,Brown,40.0,charlie.brown@example.com,7490-509-758,False,33
EMP1033,Grace,Johnson,25.0,grace.johnson@example.com,2304-501-895,False,34
EMP1034,Heidi,Miller,30.0,heidi.miller@example.com,1642-361-031,True,35
EMP1035,Frank,Jones,25.0,frank.jones@example.com,6642-147-648,True,36
EMP1036,Alice,Brown,,alice.brown@example.com,2515-837-766,False,37
EMP1037,Grace,Smith,25.0,grace.smith@example.com,4996-165-925,True,38
EMP1038,Frank,Smith,35.0,frank.smith@example.com,6108-573-277,True,39
EMP1039,Eva,Williams,40.0,eva.williams@example.com,8147-617-421,False,40
EMP1040,Bob,Williams,25.0,bob.williams@example.com,4386-490-809,True,41
EMP1041,Bob,Davis,30.0,bob.davis@example.com,8186-617-944,False,42
EMP1042,Alice,Johnson,,alice.johnson@example.com,4918-017-225,True,43
EMP1043,Bob,Garcia,,bob.garcia@example.com,1645-977-93,False,44
EMP1044,Eva,Brown,,eva.brown@example.com,5232-194-167,True,45
EMP1045,Alice,Brown,25.0,alice.brown@example.com,6102-776-8,True,46
EMP1046,Grace,Garcia,,grace.garcia@example.com,7499-564-121,False,47
EMP1047,Alice,Davis,35.0,alice.davis@example.com,3103-037-22,True,48
EMP1048,Alice,Miller,35.0,alice.miller@example.com,6831-472-759,False,49
EMP1049,Grace,Miller,,grace.miller@example.com,1227-770-792,True,50
EMP1050,Charlie,Davis,40.0,charlie.davis@example.com,3496-050-165,False,51
EMP1051,David,Miller,35.0,david.miller@example.com,7998-407-677,False,52
EMP1052,David,Williams,30.0,david.williams@example.com,9973-080-694,False,53
EMP1053,Alice,Brown,30.0,alice.brown@example.com,8146-717-956,False,54
EMP1054,Frank,Davis,,frank.davis@example.com,6024-375-737,True,55
EMP1055,Eva,Brown,30.0,eva.brown@example.com,3959-724-664,True,56
EMP1056,Frank,Garcia,40.0,frank.garcia@example.com,7293-417-222,False,57
EMP1057,Alice,Smith,40.0,alice.smith@example.com,2971-674-337,False,58
EMP1058,David,Williams,35.0,david.williams@example.com,5452-280-0,False,59
EMP1059,Bob,Jones,35.0,bob.jones@example.com,5619-318-373,True,60
EMP1060,Charlie,Williams,30.0,charlie.williams@example.com,5508-428-909,True,61
EMP1061,Eva,Davis,40.0,eva.davis@example.com,7711-991-807,True,62
EMP1062,Frank,Jones,40.0,frank.jones@example.com,1213-524-786,True,63
EMP1063,Charlie,Smith,25.0,charlie.smith@example.com,1255-213-759,False,64
EMP1064,David,Davis,35.0,david.davis@example.com,3754-821-455,False,65
EMP1065,Bob,Johnson,40.0,bob.johnson@example.com,5328-632-665,False,66
EMP1066,Grace,Brown,30.0,grace.brown@example.com,7850-720-810,True,67
EMP1067,Bob,Smith,40.0,bob.smith@example.com,5562-606-028,True,68
EMP1068,Bob,Brown,40.0,bob.brown@example.com,8466-845-49,True,69
EMP1069,Heidi,Miller,,heidi.miller@example.com,4892-673-898,False,70
EMP1070,Charlie,Johnson,40.0,charlie.johnson@example.com,7563-410-855,False,71
EMP1071,Heidi,Johnson,30.0,heidi.johnson@example.com,2884-318-847,True,72
EMP1072,Frank,Smith,,frank.smith@example.com,5200-894-345,False,73
EMP1073,David,Johnson,25.0,david.johnson@example.com,8105-485-100,True,74
EMP1074,Grace,Jones,40.0,grace.jones@example.com,7490-753-997,True,75
EMP1075,Heidi,Johnson,25.0,heidi.johnson@example.com,9354-492-682,False,76
EMP1076,David,Brown,40.0,david.brown@example.com,1589-357-125,True,77
EMP1077,Grace,Brown,30.0,grace.brown@example.com,6110-627-370,False,78
EMP1078,Alice,Davis,25.0,alice.davis@example.com,5869-886-496,True,79
EMP1079,Grace,Brown,35.0,grace.brown@example.com,6776-228-276,False,80
EMP1080,Grace,Davis,35.0,grace.davis@example.com,2881-377-027,False,81
EMP1081,Frank,Brown,30.0,frank.brown@example.com,5196-115-939,False,82
EMP1082,David,Jones,25.0,david.jones@example.com,8215-454-469,True,83
EMP1083,David,Garcia,40.0,david.garcia@example.com,2296-044-326,True,84
EMP1084,Bob,Davis,30.0,bob.davis@example.com,1851-067-93,False,85
EMP1085,Grace,Williams,40.0,grace.williams@example.com,9756-792-286,False,86
EMP1086,Bob,Miller,35.0,bob.miller@example.com,7725-199-662,True,87
EMP1087,Frank,Smith,,frank.smith@example.com,6580-741-208,True,88
EMP1088,Grace,Brown,40.0,grace.brown@example.com,4818-139-889,True,89
